location_id,source_type,status,failure_reason,address_type,name,display_name,latitude,longitude,house_number,road,neighbourhood,suburb,county,city,state,ISO3166-2-lvl4,postcode,country,country_code
772,restaurant,success,,primary,Union Turnpike,"Union Turnpike, Utopia, Queens, Queens County, City of New York, New York, 11366, United States",40.72549996925406,-73.79255221824062,,Union Turnpike,Utopia,Queens,Queens County,City of New York,New York,US-NY,11366,United States,us
773,restaurant,success,,platform,157th Street,"157th Street, Broadway, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10032, United States",40.834023099999996,-73.94485455229318,,Broadway,Manhattan Community Board 12,Manhattan,New York County,City of New York,New York,US-NY,10032,United States,us
774,restaurant,success,,yes,600 Third Avenue,"600 Third Avenue, 600, 3rd Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",40.74932325,-73.97589050171247,600,3rd Avenue,Manhattan Community Board 6,Manhattan,New York County,City of New York,New York,US-NY,10016,United States,us
775,restaurant,success,,house,,"90-02, 37th Avenue, Jackson Heights, Queens, Queens County, City of New York, New York, 11372, United States",40.7504336,-73.8767138,90-02,37th Avenue,Jackson Heights,Queens,Queens County,City of New York,New York,US-NY,11372,United States,us
776,restaurant,success,,yes,The Centurian Building,"The Centurian Building, 1182, Broadway, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10001, United States",40.74551075,-73.98843268777293,1182,Broadway,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10001,United States,us
777,restaurant,success,,supermarket,Sunrise Mart,"Sunrise Mart, 12, East 41st Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10017, United States",40.7524184,-73.9807341,12,East 41st Street,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10017,United States,us
778,restaurant,success,,yes,,"16, Spring Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",40.721251699999996,-73.99494773232163,16,Spring Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10012,United States,us
779,restaurant,success,,yes,,"465, Court Street, Carroll Gardens, Brooklyn, Kings County, City of New York, New York, 11231, United States",40.67715475,-73.99814188531951,465,Court Street,Carroll Gardens,Brooklyn,Kings County,City of New York,New York,US-NY,11231,United States,us
780,restaurant,success,,yes,,"1475, 2nd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10021, United States",40.77198385,-73.95641213871164,1475,2nd Avenue,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10021,United States,us
781,restaurant,success,,yes,,"222, East 39th Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",40.74814995,-73.97482574276953,222,East 39th Street,Manhattan Community Board 6,Manhattan,New York County,City of New York,New York,US-NY,10016,United States,us
782,restaurant,success,,yes,,"107-08, Northern Boulevard, East Elmhurst, Queens, Queens County, City of New York, New York, 11368, United States",40.75759175,-73.86160674007857,107-08,Northern Boulevard,East Elmhurst,Queens,Queens County,City of New York,New York,US-NY,11368,United States,us
783,restaurant,success,,apartments,,"172, Avenue B, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10009, United States",40.72738475,-73.97978004999999,172,Avenue B,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10009,United States,us
784,restaurant,success,,house,,"675, Morris Park Avenue, Van Nest, The Bronx, Bronx County, City of New York, New York, 10462, United States",40.8452284,-73.8668161,675,Morris Park Avenue,Van Nest,The Bronx,Bronx County,City of New York,New York,US-NY,10462,United States,us
785,restaurant,success,,outdoor_seating,,"37th Avenue, Flushing Chinatown, Queens, Queens County, City of New York, New York, 11354, United States",40.760701049999994,-73.83333430000002,,37th Avenue,Flushing Chinatown,Queens,Queens County,City of New York,New York,US-NY,11354,United States,us
